N;n;alpha;beta;NSim;psiu;a;b;seed;e_ij.dist;u_i.dist
30;5;0.05;0;1000;0;0;0;15956726;N(0, 1);scaled_chisq(4)
30;5;0.1;0;1000;0;0;0;19915892;N(0, 1);scaled_chisq(4)
30;5;0.15;0;1000;0;0;0;38461683;N(0, 1);scaled_chisq(4)
30;10;0.05;0;1000;0;0;0;34226638;N(0, 1);scaled_chisq(4)
30;10;0.1;0;1000;0;0;0;18122881;N(0, 1);scaled_chisq(4)
30;10;0.15;0;1000;0;0;0;37555250;N(0, 1);scaled_chisq(4)
30;15;0.05;0;1000;0;0;0;32331613;N(0, 1);scaled_chisq(4)
30;15;0.1;0;1000;0;0;0;24083281;N(0, 1);scaled_chisq(4)
30;15;0.15;0;1000;0;0;0;37688893;N(0, 1);scaled_chisq(4)
30;20;0.05;0;1000;0;0;0;22311922;N(0, 1);scaled_chisq(4)
30;20;0.1;0;1000;0;0;0;28911790;N(0, 1);scaled_chisq(4)
30;20;0.15;0;1000;0;0;0;24772814;N(0, 1);scaled_chisq(4)
50;5;0.05;0;1000;0;0;0;32972179;N(0, 1);scaled_chisq(4)
50;5;0.1;0;1000;0;0;0;33543816;N(0, 1);scaled_chisq(4)
50;5;0.15;0;1000;0;0;0;27812750;N(0, 1);scaled_chisq(4)
50;10;0.05;0;1000;0;0;0;22876854;N(0, 1);scaled_chisq(4)
50;10;0.1;0;1000;0;0;0;32298359;N(0, 1);scaled_chisq(4)
50;10;0.15;0;1000;0;0;0;28679755;N(0, 1);scaled_chisq(4)
50;15;0.05;0;1000;0;0;0;31114159;N(0, 1);scaled_chisq(4)
50;20;0.05;0;1000;0;0;0;14306462;N(0, 1);scaled_chisq(4)
50;15;0.1;0;1000;0;0;0;5794471;N(0, 1);scaled_chisq(4)
50;15;0.15;0;1000;0;0;0;18287934;N(0, 1);scaled_chisq(4)
50;20;0.1;0;1000;0;0;0;12348872;N(0, 1);scaled_chisq(4)
50;20;0.15;0;1000;0;0;0;3262952;N(0, 1);scaled_chisq(4)
