nr;N; n; alpha; beta; NSim; a; b; seed; FUN;tmp
1;30;5;0.05;0;100;2;0.4;7606663;SimData_NvarN;0
2;30;5;0.1;0;100;2;0.4;10456384;SimData_NvarN;0
3;30;5;0.15;0;100;2;0.4;11145103;SimData_NvarN;0
4;30;10;0.05;0;100;2;0.4;12423671;SimData_NvarN;0
5;30;10;0.1;0;100;2;0.4;15690532;SimData_NvarN;0
6;30;10;0.15;0;100;2;0.4;15141371;SimData_NvarN;0
7;30;15;0.05;0;100;2;0.4;13774892;SimData_NvarN;0
8;30;15;0.1;0;100;2;0.4;12830646;SimData_NvarN;0
9;30;15;0.15;0;100;2;0.4;14656976;SimData_NvarN;0
10;30;20;0.05;0;100;2;0.4;13221643;SimData_NvarN;0
11;30;20;0.1;0;100;2;0.4;7320637;SimData_NvarN;0
12;30;20;0.15;0;100;2;0.4;12631415;SimData_NvarN;0
13;50;5;0.05;0;100;2;0.4;15279036;SimData_NvarN;0
14;50;5;0.1;0;100;2;0.4;15891546;SimData_NvarN;0
15;50;5;0.15;0;100;2;0.4;11678573;SimData_NvarN;0
16;50;10;0.05;0;100;2;0.4;11445383;SimData_NvarN;0
17;50;10;0.1;0;100;2;0.4;15519464;SimData_NvarN;0
18;50;10;0.15;0;100;2;0.4;7330336;SimData_NvarN;0
19;50;15;0.05;0;100;2;0.4;12997649;SimData_NvarN;0
20;50;15;0.1;0;100;2;0.4;11362580;SimData_NvarN;0
21;50;15;0.15;0;100;2;0.4;9474513;SimData_NvarN;0
22;50;20;0.05;0;100;2;0.4;10823910;SimData_NvarN;0
23;50;20;0.1;0;100;2;0.4;14361438;SimData_NvarN;0
24;50;20;0.15;0;100;2;0.4;6278442;SimData_NvarN;0
25;30;5;0.05;0;100;2;0.4;15305547;SimData_Nvarchi;0
26;30;5;0.1;0;100;2;0.4;9128407;SimData_Nvarchi;0
27;30;5;0.15;0;100;2;0.4;13015768;SimData_Nvarchi;0
28;30;10;0.05;0;100;2;0.4;15982008;SimData_Nvarchi;0
29;30;10;0.1;0;100;2;0.4;6515806;SimData_Nvarchi;0
30;30;10;0.15;0;100;2;0.4;6958654;SimData_Nvarchi;0
31;30;15;0.05;0;100;2;0.4;16384035;SimData_Nvarchi;0
32;30;15;0.1;0;100;2;0.4;15026663;SimData_Nvarchi;0
33;30;15;0.15;0;100;2;0.4;14297511;SimData_Nvarchi;0
34;30;20;0.05;0;100;2;0.4;9143519;SimData_Nvarchi;0
35;30;20;0.1;0;100;2;0.4;12266924;SimData_Nvarchi;0
36;30;20;0.15;0;100;2;0.4;8229150;SimData_Nvarchi;0
37;50;5;0.05;0;100;2;0.4;8972938;SimData_Nvarchi;0
38;50;5;0.1;0;100;2;0.4;14559891;SimData_Nvarchi;0
39;50;5;0.15;0;100;2;0.4;10966951;SimData_Nvarchi;0
40;50;10;0.05;0;100;2;0.4;7503885;SimData_Nvarchi;0
41;50;10;0.1;0;100;2;0.4;10754729;SimData_Nvarchi;0
42;50;10;0.15;0;100;2;0.4;10024229;SimData_Nvarchi;0
43;50;15;0.05;0;100;2;0.4;13778372;SimData_Nvarchi;0
44;50;15;0.1;0;100;2;0.4;7395742;SimData_Nvarchi;0
45;50;15;0.15;0;100;2;0.4;15383853;SimData_Nvarchi;0
46;50;20;0.05;0;100;2;0.4;14364355;SimData_Nvarchi;0
47;50;20;0.1;0;100;2;0.4;14136779;SimData_Nvarchi;0
48;50;20;0.15;0;100;2;0.4;6206597;SimData_Nvarchi;0
49;30;5;0.05;0;100;2;0.4;10855753;SimData_NN;0
50;30;5;0.1;0;100;2;0.4;13242707;SimData_NN;0
51;30;5;0.15;0;100;2;0.4;14710987;SimData_NN;0
52;30;10;0.05;0;100;2;0.4;15928624;SimData_NN;0
53;30;10;0.1;0;100;2;0.4;14047736;SimData_NN;0
54;30;10;0.15;0;100;2;0.4;6491567;SimData_NN;0
55;30;15;0.05;0;100;2;0.4;13163272;SimData_NN;0
56;30;15;0.1;0;100;2;0.4;7230944;SimData_NN;0
57;30;15;0.15;0;100;2;0.4;12365430;SimData_NN;0
58;30;20;0.05;0;100;2;0.4;10328934;SimData_NN;0
59;30;20;0.1;0;100;2;0.4;10736675;SimData_NN;0
60;30;20;0.15;0;100;2;0.4;13687121;SimData_NN;0
61;50;5;0.05;0;100;2;0.4;12786143;SimData_NN;0
62;50;5;0.1;0;100;2;0.4;13463185;SimData_NN;0
63;50;5;0.15;0;100;2;0.4;12189188;SimData_NN;0
64;50;10;0.05;0;100;2;0.4;13435784;SimData_NN;0
65;50;10;0.1;0;100;2;0.4;7491436;SimData_NN;0
66;50;10;0.15;0;100;2;0.4;13449876;SimData_NN;0
67;50;15;0.05;0;100;2;0.4;13799998;SimData_NN;0
